Fri Dec  9 10:54:53 2022    concur

         1072955 function calls (1047034 primitive calls) in 37.555 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2093/1219    0.012    0.000    0.050    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2441(get_affine)
     21/9    0.000    0.000    0.050    0.006 <frozen importlib._bootstrap>:659(_load_unlocked)
24306/19729    0.029    0.000    0.050    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:290(stale)
    45/26    0.000    0.000    0.050    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\_api\deprecation.py:291(wrapper)
       11    0.000    0.000    0.049    0.004 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:3186(grid)
     19/9    0.000    0.000    0.049    0.005 <frozen importlib._bootstrap_external>:844(exec_module)
       19    0.000    0.000    0.049    0.003 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1394(grid)
        2    0.000    0.000    0.048    0.024 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\reader\excel.py:275(read)
        1    0.000    0.000    0.048    0.048 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:273(save)
     31/9    0.000    0.000    0.047    0.005 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.046    0.046 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:61(write_data)
      181    0.003    0.000    0.045    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:759(set_clip_path)
    58/30    0.002    0.000    0.044    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:466(get_extent_offsets)
3231/3042    0.005    0.000    0.043    0.000 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\contextlib.py:123(__exit__)
      390    0.001    0.000    0.042    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\utils\indexed_list.py:47(add)
   100769    0.030    0.000    0.042    0.000 {built-in method builtins.isinstance}
     4556    0.012    0.000    0.042    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.041    0.041 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_axes.py:2449(barh)
     20/4    0.000    0.000    0.041    0.010 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:354(draw)
    58/30    0.000    0.000    0.041    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:472(<listcomp>)
    28/18    0.001    0.000    0.041    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:425(get_extent_offsets)
      968    0.002    0.000    0.041    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2417(transform_affine)
     5955    0.040    0.000    0.040    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      176    0.001    0.000    0.040    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\styles\styleable.py:23(__set__)
    60/22    0.000    0.000    0.040    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:343(get_extent)
60855/59953    0.024    0.000    0.040    0.000 {built-in method builtins.getattr}
    28/18    0.000    0.000    0.040    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:436(<listcomp>)
      131    0.003    0.000    0.039    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:59(__init__)
    29928    0.029    0.000    0.039    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\__init__.py:653(__getitem__)
       64    0.000    0.000    0.038    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:759(_set_scale)
    20/10    0.000    0.000    0.038    0.004 {built-in method builtins.exec}
       64    0.001    0.000    0.037    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\scale.py:104(set_default_locators_and_formatters)
