Fri Dec  9 10:56:02 2022    async

         1084106 function calls (1058191 primitive calls) in 43.945 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    21/10    0.000    0.000    0.055    0.006 <frozen importlib._bootstrap>:1002(_find_and_load)
    21/10    0.000    0.000    0.055    0.005 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     1042    0.004    0.000    0.054    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\text.py:162(update)
        1    0.000    0.000    0.053    0.053 C:\Users\anony\Balaba\venv\lib\site-packages\PIL\Image.py:2269(save)
        1    0.000    0.000    0.051    0.051 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\pyplot.py:1800(yticks)
        1    0.000    0.000    0.050    0.050 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\workbook\workbook.py:394(save)
        1    0.000    0.000    0.050    0.050 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:279(save_workbook)
        2    0.000    0.000    0.050    0.025 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\reader\excel.py:288(load_workbook)
    21/10    0.000    0.000    0.049    0.005 <frozen importlib._bootstrap>:659(_load_unlocked)
      968    0.004    0.000    0.048    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1480(transform)
    19/10    0.000    0.000    0.048    0.005 <frozen importlib._bootstrap_external>:844(exec_module)
3231/3044    0.003    0.000    0.048    0.000 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\contextlib.py:114(__enter__)
    24/16    0.000    0.000    0.047    0.003 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:581(__get__)
       35    0.000    0.000    0.047    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:850(set_tick_params)
        1    0.000    0.000    0.046    0.046 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:273(save)
      223    0.003    0.000    0.046    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\text.py:115(__init__)
       12    0.001    0.000    0.046    0.004 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:2955(_update_title_position)
2093/1219    0.010    0.000    0.046    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2441(get_affine)
        1    0.000    0.000    0.045    0.045 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:61(write_data)
        2    0.000    0.000    0.045    0.022 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\reader\excel.py:275(read)
       57    0.002    0.000    0.040    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\path.py:596(get_extents)
       33    0.000    0.000    0.040    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:622(get_window_extent)
        1    0.001    0.001    0.039    0.039 C:\Users\anony\Balaba\statistics.py:456(set_style)
    45/26    0.000    0.000    0.039    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\_api\deprecation.py:291(wrapper)
       11    0.000    0.000    0.039    0.004 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:3186(grid)
       19    0.000    0.000    0.039    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1394(grid)
24306/19729    0.022    0.000    0.038    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:290(stale)
    31/10    0.000    0.000    0.038    0.004 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    58/30    0.002    0.000    0.037    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:466(get_extent_offsets)
3231/3042    0.004    0.000    0.037    0.000 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\contextlib.py:123(__exit__)
     20/4    0.000    0.000    0.036    0.009 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:354(draw)
      968    0.002    0.000    0.036    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2417(transform_affine)
61167/60265    0.022    0.000    0.036    0.000 {built-in method builtins.getattr}
    28/18    0.001    0.000    0.035    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:425(get_extent_offsets)
    58/30    0.000    0.000    0.035    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:472(<listcomp>)
      181    0.002    0.000    0.035    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:759(set_clip_path)
     4556    0.010    0.000    0.034    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
   101852    0.025    0.000    0.034    0.000 {built-in method builtins.isinstance}
