name,salary_from,salary_to,salary_currency,area_name,published_at
"Токарь, город Калуга",Калуга,94000.0,110000.0,RUR,2022-12-01T09:50:32+0300
Фрезеровщик (Пермь),Ростов-на-Дону,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-расточник (г.Пермь),Пермь,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Механик,Бийск,50000.0,,RUR,2022-12-01T10:41:17+0300
Токарь (Пермь),Уфа,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Оператор станков с ЧПУ,Ульяновск,35000.0,70000.0,RUR,2022-12-01T11:12:46+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),Екатеринбург,150000.0,,RUR,2022-12-01T07:41:22+0300
Фрезеровщик (Пермь),Казань,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь (Пермь),Нижний Новгород,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Пермь,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Пермь,106000.0,126000.0,RUR,2022-12-01T07:41:21+0300
Токарь-расточник (г.Пермь),Уфа,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Системный аналитик,Санкт-Петербург,150000.0,,RUR,2022-12-01T10:37:05+0300
Токарь (Пермь),Челябинск,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Самара,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Сервисный инженер,Костанай,180000.0,230000.0,KZT,2022-12-01T07:57:56+0300
Строгальщик (г. Челябинск),Верхняя Салда,105000.0,,RUR,2022-12-01T10:44:08+0300
"Full-stack developer / Middle (Php, Python, Laravel)",Казань,150000.0,200000.0,RUR,2022-12-01T09:42:50+0300
Токарь,Альметьевск,121000.0,127000.0,RUR,2022-12-01T11:43:56+0300
Программист 1С,Москва,60000.0,,RUR,2022-12-01T09:09:39+0300
Фрезеровщик (Пермь),Самара,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-карусельщик,Магнитогорск,130000.0,,RUR,2022-12-01T09:30:51+0300
Токарь,Майкоп,50000.0,,RUR,2022-12-01T07:52:07+0300
Программист 1 С,Кемерово,,120000.0,RUR,2022-12-01T11:23:14+0300
Контент-менеджер,Алматы,25000.0,50000.0,RUR,2022-12-01T00:05:58+0300
Наладчик-оператор станков с ЧПУ,Минск,1600.0,3500.0,BYR,2022-12-01T09:29:52+0300
Веб-разработчик (middle),Майкоп,46000.0,58000.0,RUR,2022-12-01T11:24:45+0300
Специалист технической поддержки,Владивосток,35000.0,55000.0,RUR,2022-12-01T05:07:00+0300
Фрезеровщик (Пермь),Краснодар,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-расточник (г.Пермь),Челябинск,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Электромеханик,Караганда,180000.0,300000.0,KZT,2022-12-01T09:54:55+0300
Строгальщик (г. Челябинск),Стерлитамак,105000.0,,RUR,2022-12-01T10:41:53+0300
Ведущий сетевой инженер в ЦОД,Екатеринбург,100000.0,170000.0,RUR,2022-12-01T11:46:54+0300
Фрезеровщик (Пермь),Москва,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Backend Developer C# (Remote),Санкт-Петербург,1000.0,2500.0,USD,2022-12-01T10:49:28+0300
Токарь (Пермь),Владимир,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),Уфа,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь,Набережные Челны,57000.0,97000.0,RUR,2022-12-01T09:26:32+0300
Ведущий сетевой инженер в ЦОД,Новосибирск,100000.0,170000.0,RUR,2022-12-01T11:46:54+0300
Фрезеровщик (Пермь),Челябинск,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),Владимир,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),Ульяновск,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-расточник (г.Пермь),Ульяновск,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Фрезеровщик (Пермь),Верещагино,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик,Казань,103000.0,,RUR,2022-12-01T10:55:30+0300
Токарь-расточник (г.Пермь),Самара,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Техник,Заокский,45000.0,45000.0,RUR,2022-12-01T11:29:27+0300
Токарь-расточник,Киров (Кировская область),130000.0,,RUR,2022-12-01T11:39:09+0300
Механик ДСУ,Волчанск (Свердловская область),47000.0,,RUR,2022-12-01T07:27:03+0300
Токарь-расточник,Зеленодольск (Республика Татарстан),130000.0,,RUR,2022-12-01T11:39:09+0300
Инженер АСУ ТП,Пермь,72000.0,78000.0,RUR,2022-12-01T07:51:25+0300
"Full stack разработчик Asp.Net, MVC (удаленно)",Красноярск,180000.0,250000.0,RUR,2022-12-01T11:43:35+0300
Токарь (Пермь),Казань,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Ижевск,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Тула,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Верещагино,106000.0,126000.0,RUR,2022-12-01T07:40:26+0300
Фрезеровщик (Пермь),Иркутск,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),Волгоград,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-универсал,Челябинск,85000.0,,RUR,2022-12-01T08:05:59+0300
Токарь-расточник (г.Пермь),Тюмень,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Токарь,Старый Оскол,70000.0,,RUR,2022-12-01T08:41:31+0300
Ведущий сетевой инженер в ЦОД,Челябинск,100000.0,170000.0,RUR,2022-12-01T11:46:54+0300
